      2 ?        S      0:00 [kthreadd]
  26370 ?        Sl     8:01  |   |   |   \_ /usr/share/code/code --type=gpu-process --crashpad-handler-pid=26350 --enable-crash-reporter=2fad70d7-e1b0-4030-a232-9432ba116cd9,no_channel --user-data-dir=/home/julia/.config/Code --gpu-preferences=WAAAAAAAAAAgAAAEAAAAAAAAAAAAAAAAAABgAAAAAAA4AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABAAAAGAAAAAAAAAAYAAAAAAAAAAgAAAAAAAAACAAAAAAAAAAIAAAAAAAAAA== --shared-files --field-trial-handle=0,i,6486262116667381395,14162139822059322082,262144 --enable-features=kWebSQLAccess --disable-features=CalculateNativeWinOcclusion,SpareRendererForSitePerProcess --variations-seed-version
  26334 ?        S      0:00  |   |   \_ /usr/share/code/code --type=zygote
  26336 ?        S      0:00  |   |   |   \_ /usr/share/code/code --type=zygote
  26411 ?        Sl    11:22  |   |   |       \_ /usr/share/code/code --type=renderer --crashpad-handler-pid=26350 --enable-crash-reporter=2fad70d7-e1b0-4030-a232-9432ba116cd9,no_channel --user-data-dir=/home/julia/.config/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --app-path=/usr/share/code/resources/app --enable-sandbox --enable-blink-features=HighlightAPI --first-renderer-process --lang=ru --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=4 --time-ticks-at-unix-epoch=-1716557695916535 --launch-time-ticks=6307042303 --shared-files=v8_context_snapshot_data:100 --field-trial-handle=0,i,6486262116667381395,14162139822059322082,262144 --enable-features=kWebSQLAccess --disable-features=CalculateNativeWinOcclusion,SpareRendererForSitePerProcess --variations-seed-version --vscode-window-config=vscode:ab877904-aba7-4090-9bd9-34ade23bbc07
  26374 ?        Sl     0:11  |   |   \_ /usr/share/code/code --type=utility --utility-sub-type=network.mojom.NetworkService --lang=ru --service-sandbox-type=none --crashpad-handler-pid=26350 --enable-crash-reporter=2fad70d7-e1b0-4030-a232-9432ba116cd9,no_channel --user-data-dir=/home/julia/.config/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files=v8_context_snapshot_data:100 --field-trial-handle=0,i,6486262116667381395,14162139822059322082,262144 --enable-features=kWebSQLAccess --disable-features=CalculateNativeWinOcclusion,SpareRendererForSitePerProcess --variations-seed-version
  26447 ?        Sl     1:08  |   |   \_ /usr/share/code/code --type=utility --utility-sub-type=node.mojom.NodeService --lang=ru --service-sandbox-type=none --crashpad-handler-pid=26350 --enable-crash-reporter=2fad70d7-e1b0-4030-a232-9432ba116cd9,no_channel --user-data-dir=/home/julia/.config/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files=v8_context_snapshot_data:100 --field-trial-handle=0,i,6486262116667381395,14162139822059322082,262144 --enable-features=kWebSQLAccess --disable-features=CalculateNativeWinOcclusion,SpareRendererForSitePerProcess --variations-seed-version
  26448 ?        Sl     0:18  |   |   \_ /usr/share/code/code --type=utility --utility-sub-type=node.mojom.NodeService --lang=ru --service-sandbox-type=none --crashpad-handler-pid=26350 --enable-crash-reporter=2fad70d7-e1b0-4030-a232-9432ba116cd9,no_channel --user-data-dir=/home/julia/.config/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files=v8_context_snapshot_data:100 --field-trial-handle=0,i,6486262116667381395,14162139822059322082,262144 --enable-features=kWebSQLAccess --disable-features=CalculateNativeWinOcclusion,SpareRendererForSitePerProcess --variations-seed-version
  26467 ?        Sl     1:05  |   |   \_ /usr/share/code/code --type=utility --utility-sub-type=node.mojom.NodeService --lang=ru --service-sandbox-type=none --dns-result-order=ipv4first --inspect-port=0 --crashpad-handler-pid=26350 --enable-crash-reporter=2fad70d7-e1b0-4030-a232-9432ba116cd9,no_channel --user-data-dir=/home/julia/.config/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files=v8_context_snapshot_data:100 --field-trial-handle=0,i,6486262116667381395,14162139822059322082,262144 --enable-features=kWebSQLAccess --disable-features=CalculateNativeWinOcclusion,SpareRendererForSitePerProcess --variations-seed-version
  26530 ?        Sl     0:56  |   |   |   \_ /home/julia/.vscode/extensions/ms-vscode.cpptools-1.20.5-linux-x64/bin/cpptools
  26493 ?        Sl     4:49  |   |   \_ /usr/share/code/code --type=utility --utility-sub-type=node.mojom.NodeService --lang=ru --service-sandbox-type=none --crashpad-handler-pid=26350 --enable-crash-reporter=2fad70d7-e1b0-4030-a232-9432ba116cd9,no_channel --user-data-dir=/home/julia/.config/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files=v8_context_snapshot_data:100 --field-trial-handle=0,i,6486262116667381395,14162139822059322082,262144 --enable-features=kWebSQLAccess --disable-features=CalculateNativeWinOcclusion,SpareRendererForSitePerProcess --variations-seed-version
  26511 pts/2    Ss+    0:00  |   |       \_ /usr/bin/bash --init-file /usr/share/code/resources/app/out/vs/workbench/contrib/terminal/browser/media/shellIntegration-bash.sh
 163910 pts/0    Ss+    0:00  |   |       \_ /usr/bin/bash --init-file /usr/share/code/resources/app/out/vs/workbench/contrib/terminal/browser/media/shellIntegration-bash.sh
 173217 pts/6    Ss+    0:00  |   |       \_ /usr/bin/bash --init-file /usr/share/code/resources/app/out/vs/workbench/contrib/terminal/browser/media/shellIntegration-bash.sh
 158993 ?        Sl     0:00  |   \_ /usr/lib/libreoffice/program/oosplash --writer
 159010 ?        Sl     7:30  |   |   \_ /usr/lib/libreoffice/program/soffice.bin --writer
 238287 ?        Sl     0:31  |   \_ gnome-control-center wifi
 244592 ?        Sl    17:11  |   \_ /home/julia/idea-IC-241.15989.150/jbr/bin/java -classpath /home/julia/idea-IC-241.15989.150/lib/platform-loader.jar:/home/julia/idea-IC-241.15989.150/lib/util-8.jar:/home/julia/idea-IC-241.15989.150/lib/util.jar:/home/julia/idea-IC-241.15989.150/lib/app-client.jar:/home/julia/idea-IC-241.15989.150/lib/util_rt.jar:/home/julia/idea-IC-241.15989.150/lib/product.jar:/home/julia/idea-IC-241.15989.150/lib/opentelemetry.jar:/home/julia/idea-IC-241.15989.150/lib/app.jar:/home/julia/idea-IC-241.15989.150/lib/modules.jar:/home/julia/idea-IC-241.15989.150/lib/lib-client.jar:/home/julia/idea-IC-241.15989.150/lib/stats.jar:/home/julia/idea-IC-241.15989.150/lib/jps-model.jar:/home/julia/idea-IC-241.15989.150/lib/external-system-rt.jar:/home/julia/idea-IC-241.15989.150/lib/rd.jar:/home/julia/idea-IC-241.15989.150/lib/bouncy-castle.jar:/home/julia/idea-IC-241.15989.150/lib/protobuf.jar:/home/julia/idea-IC-241.15989.150/lib/intellij-test-discovery.jar:/home/julia/idea-IC-241.15989.150/lib/intellij-coverage-agent-1.0.744.jar:/home/julia/idea-IC-241.15989.150/lib/forms_rt.jar:/home/julia/idea-IC-241.15989.150/lib/lib.jar:/home/julia/idea-IC-241.15989.150/lib/externalProcess-rt.jar:/home/julia/idea-IC-241.15989.150/lib/groovy.jar:/home/julia/idea-IC-241.15989.150/lib/annotations.jar:/home/julia/idea-IC-241.15989.150/lib/grpc.jar:/home/julia/idea-IC-241.15989.150/lib/idea_rt.jar:/home/julia/idea-IC-241.15989.150/lib/jsch-agent.jar:/home/julia/idea-IC-241.15989.150/lib/junit4.jar:/home/julia/idea-IC-241.15989.150/lib/trove.jar -XX:ErrorFile=/home/julia/java_error_in_idea_%p.log -XX:HeapDumpPath=/home/julia/java_error_in_idea_.hprof -Xms128m -Xmx2048m -XX:+HeapDumpOnOutOfMemoryError -XX:-OmitStackTraceInFastThrow -XX:+IgnoreUnrecognizedVMOptions -ea -Dsun.io.useCanonCaches=false -Dsun.java2d.metal=true -Djbr.catch.SIGABRT=true -Djdk.http.auth.tunneling.disabledSchemes="" -Djdk.attach.allowAttachSelf=true -Djdk.module.illegalAccess.silent=true -Dkotlinx.coroutines.debug=off -XX:CICompilerCount=2 -XX:ReservedCodeCacheSize=512m -XX:CompileCommand=exclude,com/intellij/openapi/vfs/impl/FilePartNodeRoot,trieDescend -XX:SoftRefLRUPolicyMSPerMB=50 -Dide.show.tips.on.startup.default.value=false -Dsun.tools.attach.tmp.only=true -Dawt.lock.fair=true -Xmx2048m -Djb.vmOptionsFile=/home/julia/.config/JetBrains/IdeaIC2024.1/idea64.vmoptions -Djava.system.class.loader=com.intellij.util.lang.PathClassLoader -Didea.vendor.name=JetBrains -Didea.paths.selector=IdeaIC2024.1 -Djna.boot.library.path=/home/julia/idea-IC-241.15989.150/lib/jna/amd64 -Dpty4j.preferred.native.folder=/home/julia/idea-IC-241.15989.150/lib/pty4j -Djna.nosys=true -Djna.noclasspath=true -Dintellij.platform.runtime.repository.path=/home/julia/idea-IC-241.15989.150/modules/module-descriptors.jar -Didea.platform.prefix=Idea -Dsplash=true -Daether.connector.resumeDownloads=false --add-opens=java.base/java.io=ALL-UNNAMED --add-opens=java.base/java.lang=ALL-UNNAMED --add-opens=java.base/java.lang.ref=ALL-UNNAMED --add-opens=java.base/java.lang.reflect=ALL-UNNAMED --add-opens=java.base/java.net=ALL-UNNAMED --add-opens=java.base/java.nio=ALL-UNNAMED --add-opens=java.base/java.nio.charset=ALL-UNNAMED --add-opens=java.base/java.text=ALL-UNNAMED --add-opens=java.base/java.time=ALL-UNNAMED --add-opens=java.base/java.util=ALL-UNNAMED --add-opens=java.base/java.util.concurrent=ALL-UNNAMED --add-opens=java.base/java.util.concurrent.atomic=ALL-UNNAMED --add-opens=java.base/java.util.concurrent.locks=ALL-UNNAMED --add-opens=java.base/jdk.internal.vm=ALL-UNNAMED --add-opens=java.base/sun.nio.ch=ALL-UNNAMED --add-opens=java.base/sun.nio.fs=ALL-UNNAMED --add-opens=java.base/sun.security.ssl=ALL-UNNAMED --add-opens=java.base/sun.security.util=ALL-UNNAMED --add-opens=java.base/sun.net.dns=ALL-UNNAMED --add-opens=java.desktop/com.sun.java.swing.plaf.gtk=ALL-UNNAMED --add-opens=java.desktop/java.awt=ALL-UNNAMED --add-opens=java.desktop/java.awt.dnd.peer=ALL-UNNAMED --add-opens=java.desktop/java.awt.event=ALL-UNNAMED --add-opens=java.desktop/java.awt.image=ALL-UNNAMED --add-opens=java.desktop/java.awt.peer=ALL-UNNAMED --add-opens=java.desktop/java.awt.font=ALL-UNNAMED --add-opens=java.desktop/javax.swing=ALL-UNNAMED --add-opens=java.desktop/javax.swing.plaf.basic=ALL-UNNAMED --add-opens=java.desktop/javax.swing.text=ALL-UNNAMED --add-opens=java.desktop/javax.swing.text.html=ALL-UNNAMED --add-opens=java.desktop/sun.awt.X11=ALL-UNNAMED --add-opens=java.desktop/sun.awt.datatransfer=ALL-UNNAMED --add-opens=java.desktop/sun.awt.image=ALL-UNNAMED --add-opens=java.desktop/sun.awt=ALL-UNNAMED --add-opens=java.desktop/sun.font=ALL-UNNAMED --add-opens=java.desktop/sun.java2d=ALL-UNNAMED --add-opens=java.desktop/sun.swing=ALL-UNNAMED --add-opens=java.desktop/com.sun.java.swing=ALL-UNNAMED --add-opens=jdk.attach/sun.tools.attach=ALL-UNNAMED --add-opens=jdk.compiler/com.sun.tools.javac.api=ALL-UNNAMED --add-opens=jdk.internal.jvmstat/sun.jvmstat.monitor=ALL-UNNAMED --add-opens=jdk.jdi/com.sun.tools.jdi=ALL-UNNAMED com.intellij.idea.Main
 244755 ?        S      0:11  |   |   \_ /home/julia/idea-IC-241.15989.150/bin/fsnotifier
 269436 ?        Sl     0:04  |   \_ /usr/lib/github-desktop/github-desktop
 269441 ?        S      0:00  |   |   \_ /usr/lib/github-desktop/github-desktop --type=zygote --no-zygote-sandbox
 269471 ?        Sl     0:05  |   |   |   \_ /usr/lib/github-desktop/github-desktop --type=gpu-process --enable-crash-reporter=b79262fc-0af7-444c-a426-c786b7461f57,no_channel --user-data-dir=/home/julia/.config/GitHub Desktop --gpu-preferences=WAAAAAAAAAAgAAAEAAAAAAAAAAAAAAAAAABgAAAAAAA4AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABAAAAGAAAAAAAAAAYAAAAAAAAAAgAAAAAAAAACAAAAAAAAAAIAAAAAAAAAA== --shared-files --field-trial-handle=0,i,4742402615976509835,11087857299697649983,262144 --enable-features=kWebSQLAccess --disable-features=SpareRendererForSitePerProcess --variations-seed-version
 269442 ?        S      0:00  |   |   \_ /usr/lib/github-desktop/github-desktop --type=zygote
 269444 ?        S      0:00  |   |   |   \_ /usr/lib/github-desktop/github-desktop --type=zygote
 269483 ?        Sl     0:01  |   |   \_ /usr/lib/github-desktop/github-desktop --type=utility --utility-sub-type=network.mojom.NetworkService --lang=ru --service-sandbox-type=none --enable-crash-reporter=b79262fc-0af7-444c-a426-c786b7461f57,no_channel --user-data-dir=/home/julia/.config/GitHub Desktop --shared-files=v8_context_snapshot_data:100 --field-trial-handle=0,i,4742402615976509835,11087857299697649983,262144 --enable-features=kWebSQLAccess --disable-features=SpareRendererForSitePerProcess --variations-seed-version
 269488 ?        SLl    0:08  |   |   \_ /usr/lib/github-desktop/github-desktop --type=renderer --enable-crash-reporter=b79262fc-0af7-444c-a426-c786b7461f57,no_channel --user-data-dir=/home/julia/.config/GitHub Desktop --app-path=/usr/lib/github-desktop/resources/app --no-sandbox --no-zygote --disable-blink-features=Auxclick --first-renderer-process --lang=ru --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=4 --time-ticks-at-unix-epoch=-1716906308427169 --launch-time-ticks=87090517048 --shared-files=v8_context_snapshot_data:100 --field-trial-handle=0,i,4742402615976509835,11087857299697649983,262144 --enable-features=kWebSQLAccess --disable-features=SpareRendererForSitePerProcess --variations-seed-version
 281024 ?        Sl     0:00  |   \_ gjs /usr/share/gnome-shell/extensions/ding@rastersoft.com/ding.js -E -P /usr/share/gnome-shell/extensions/ding@rastersoft.com -M 0 -D 0:0:1920:1080:1:27:0:0:0:0
   1671 ?        Sl     0:00  \_ /usr/libexec/gnome-shell-calendar-server
   1677 ?        Ssl    0:00  \_ /usr/libexec/evolution-source-registry
   1697 ?        Sl     0:00  \_ /usr/libexec/goa-daemon
   1698 ?        Ssl    0:01  \_ /usr/libexec/dconf-service
   1701 ?        Ssl    0:02  \_ /usr/libexec/evolution-calendar-factory
   1704 ?        Ssl    0:00  \_ /usr/libexec/gvfs-udisks2-volume-monitor
   1715 ?        Sl     0:03  \_ /usr/libexec/goa-identity-service
   1722 ?        Ssl    0:00  \_ /usr/libexec/gvfs-gphoto2-volume-monitor
   1731 ?        Ssl    0:01  \_ /usr/libexec/evolution-addressbook-factory
   1735 ?        Ssl    0:00  \_ /usr/libexec/gvfs-mtp-volume-monitor
   1741 ?        Ssl    0:00  \_ /usr/libexec/gvfs-goa-volume-monitor
   1748 ?        Ssl    0:04  \_ /usr/libexec/gvfs-afc-volume-monitor
   1771 ?        Sl     0:01  \_ /usr/bin/gjs /usr/share/gnome-shell/org.gnome.Shell.Notifications
   1773 ?        Sl     0:00  \_ /usr/libexec/at-spi2-registryd --use-gnome-session
   1788 ?        Ss     0:00  \_ sh -c /usr/bin/ibus-daemon --panel disable $([ "$XDG_SESSION_TYPE" = "x11" ] && echo "--xim")
   1791 ?        Sl     2:33  |   \_ /usr/bin/ibus-daemon --panel disable
   1864 ?        Sl     0:00  |       \_ /usr/libexec/ibus-dconf
   1866 ?        Sl     0:34  |       \_ /usr/libexec/ibus-extension-gtk3
   1975 ?        Sl     0:40  |       \_ /usr/libexec/ibus-engine-simple
   1789 ?        Ssl    0:00  \_ /usr/libexec/gsd-a11y-settings
   1792 ?        Ssl    0:01  \_ /usr/libexec/gsd-color
   1794 ?        Ssl    0:00  \_ /usr/libexec/gsd-datetime
   1797 ?        Ssl    0:03  \_ /usr/libexec/gsd-housekeeping
   1798 ?        Ssl    0:00  \_ /usr/libexec/gsd-keyboard
   1799 ?        Ssl    0:01  \_ /usr/libexec/gsd-media-keys
   1800 ?        Ssl    0:02  \_ /usr/libexec/gsd-power
   1803 ?        Ssl    0:00  \_ /usr/libexec/gsd-print-notifications
   1806 ?        Ssl    0:00  \_ /usr/libexec/gsd-rfkill
   1813 ?        Ssl    0:02  \_ /usr/libexec/gsd-screensaver-proxy
   1815 ?        Ssl    0:13  \_ /usr/libexec/gsd-sharing
   1817 ?        Ssl    0:00  \_ /usr/libexec/gsd-smartcard
   1820 ?        Ssl    0:00  \_ /usr/libexec/gsd-sound
   1830 ?        Ssl    0:00  \_ /usr/libexec/gsd-wacom
   1873 ?        Sl     0:01  \_ /usr/libexec/ibus-portal
   1938 ?        Sl     0:24  \_ /snap/snap-store/1113/usr/bin/snap-store --gapplication-service
   1982 ?        Sl     0:00  \_ /usr/libexec/gsd-printer
   2056 ?        Ssl    0:48  \_ /usr/libexec/xdg-desktop-portal
   2059 ?        SNsl   0:05  \_ /usr/libexec/tracker-miner-fs-3
   2066 ?        Ssl    0:09  \_ /usr/libexec/xdg-desktop-portal-gnome
   2100 ?        Sl     0:00  \_ /usr/bin/gjs /usr/share/gnome-shell/org.gnome.ScreenSaver
   2145 ?        Ssl    0:02  \_ /usr/libexec/xdg-desktop-portal-gtk
   2193 ?        Ssl    0:00  \_ /usr/libexec/gvfsd-metadata
   2583 ?        Sl     0:03  \_ /usr/bin/snap userd
   8860 ?        Ssl    0:00  \_ /usr/bin/speech-dispatcher -s -t 0
   8875 ?        Z      0:00  |   \_ [sd_espeak-ng-mb] <defunct>
   8884 ?        Sl     0:00  |   \_ /usr/lib/speech-dispatcher-modules/sd_espeak-ng /etc/speech-dispatcher/modules/espeak-ng.conf
   8904 ?        Sl     0:10  |   \_ /usr/lib/speech-dispatcher-modules/sd_dummy /etc/speech-dispatcher/modules/dummy.conf
  22897 ?        Ssl    0:01  \_ /usr/libexec/gsd-xsettings
  22929 ?        Sl     0:04  \_ /usr/libexec/ibus-x11
  26350 ?        Sl     0:00  \_ /usr/share/code/chrome_crashpad_handler --monitor-self-annotation=ptype=crashpad-handler --no-rate-limit --database=/home/julia/.config/Code/Crashpad --url=appcenter://code?aid=fba07a4d-84bd-4fc8-a125-9640fc8ce171&uid=eb3b91fb-1479-4719-86fa-dd59cc204c22&iid=eb3b91fb-1479-4719-86fa-dd59cc204c22&sid=eb3b91fb-1479-4719-86fa-dd59cc204c22 --annotation=_companyName=Microsoft --annotation=_productName=VSCode --annotation=_version=1.89.1 --annotation=lsb-release=Ubuntu 22.04.4 LTS --annotation=plat=Linux --annotation=prod=Electron --annotation=ver=28.2.8 --initial-client-fd=42 --shared-client-connection
  87301 ?        Ssl    0:48  \_ /usr/libexec/gnome-terminal-server
 156434 pts/1    Ss     0:00  |   \_ bash
 171036 pts/1    T      0:00  |   |   \_ sudo ./script.sh
 171037 pts/3    Ss     0:00  |   |   |   \_ sudo ./script.sh
 171038 pts/3    T+     0:00  |   |   |       \_ /bin/sh ./script.sh
 171041 pts/3    T+     0:00  |   |   |           \_ less /sys/kernel/debug/tracing/trace
 171297 pts/1    T      0:00  |   |   \_ sudo ./script.sh
 171298 pts/4    Ss     0:00  |   |   |   \_ sudo ./script.sh
 171299 pts/4    T+     0:00  |   |   |       \_ /bin/sh ./script.sh
 171302 pts/4    T+     0:00  |   |   |           \_ less /sys/kernel/debug/tracing/trace
 282349 pts/1    S+     0:00  |   |   \_ strace -f -e trace=%process -othread.log ./task
 282352 pts/1    S+     0:00  |   |       \_ ./task
 282353 pts/1    S+     0:00  |   |           \_ sh -c -- ps axhf > file.txt
 282354 pts/1    R+     0:00  |   |               \_ ps axhf
 175504 pts/7    Ss+    0:00  |   \_ bash
 109523 ?        Sl     0:01  \_ /usr/bin/gnome-calendar --gapplication-service
 109603 ?        SLl    0:00  \_ /usr/bin/seahorse --gapplication-service
 124069 ?        S      0:00  \_ /bin/sh -c while true; do /usr/bin/xdg-screensaver reset >/dev/null 2>&1; sleep 30; done
 282340 ?        S      0:00  |   \_ sleep 30
 171942 ?        Sl     0:41  \_ /usr/bin/nautilus --gapplication-service
 184299 ?        Sl     0:07  \_ /home/julia/.vscode/extensions/ms-vscode.cpptools-1.20.5-linux-x64/bin/cpptools-srv 26530 {DF0ABFAF-CCE9-4328-9F46-326A09CAE9A4}
 190113 ?        Sl     0:06  \_ /home/julia/.vscode/extensions/ms-vscode.cpptools-1.20.5-linux-x64/bin/cpptools-srv 26530 {ACA67602-303D-4AA1-B777-AC976CAF53F0}
 220188 ?        Sl     3:22  \_ /home/julia/Загрузки/tsetup.4.14.15/Telegram/Telegram
   1461 ?        Sl     0:01 /usr/bin/gnome-keyring-daemon --daemonize --login
   2209 ?        Ssl    0:12 /usr/libexec/fwupd/fwupd
   2322 ?        Ss     0:00 /usr/sbin/kerneloops --test
   2327 ?        Ss     0:00 /usr/sbin/kerneloops
  60527 ?        Ssl    0:00 /usr/bin/lttng-sessiond
  60528 ?        S      0:00  \_ /usr/bin/lttng-sessiond
 124643 ?        Ss     0:00 /usr/sbin/cron -f -P
 124712 ?        Ss     2:15 /lib/systemd/systemd-oomd
 265193 ?        Ss     0:00 /usr/sbin/cupsd -l
 265195 ?        Ssl    0:00 /usr/sbin/cups-browsed
      2 ?        S      0:00 [kthreadd]
      3 ?        I<     0:00  \_ [rcu_gp]
      4 ?        I<     0:00  \_ [rcu_par_gp]
      5 ?        I<     0:00  \_ [slub_flushwq]
      6 ?        I<     0:00  \_ [netns]
      8 ?        I<     0:00  \_ [kworker/0:0H-events_highpri]
     11 ?        I<     0:00  \_ [mm_percpu_wq]
     12 ?        I      0:00  \_ [rcu_tasks_kthread]
     13 ?        I      0:00  \_ [rcu_tasks_rude_kthread]
     14 ?        I      0:00  \_ [rcu_tasks_trace_kthread]
     15 ?        S      0:15  \_ [ksoftirqd/0]
     16 ?        I      2:01  \_ [rcu_preempt]
     17 ?        S      0:00  \_ [migration/0]
     18 ?        S      0:00  \_ [idle_inject/0]
     19 ?        S      0:00  \_ [cpuhp/0]
     20 ?        S      0:00  \_ [cpuhp/1]
     21 ?        S      0:00  \_ [idle_inject/1]
     22 ?        S      0:00  \_ [migration/1]
     23 ?        S      0:06  \_ [ksoftirqd/1]
     25 ?        I<     0:00  \_ [kworker/1:0H-events_highpri]
     26 ?        S      0:00  \_ [cpuhp/2]
     27 ?        S      0:00  \_ [idle_inject/2]
     28 ?        S      0:00  \_ [migration/2]
     29 ?        S      0:06  \_ [ksoftirqd/2]
     31 ?        I<     0:00  \_ [kworker/2:0H-events_highpri]
     32 ?        S      0:00  \_ [cpuhp/3]
     33 ?        S      0:00  \_ [idle_inject/3]
     34 ?        S      0:00  \_ [migration/3]
     35 ?        S      0:03  \_ [ksoftirqd/3]
     37 ?        I<     0:00  \_ [kworker/3:0H-events_highpri]
     38 ?        S      0:00  \_ [cpuhp/4]
     39 ?        S      0:00  \_ [idle_inject/4]
     40 ?        S      0:00  \_ [migration/4]
     41 ?        S      0:09  \_ [ksoftirqd/4]
     43 ?        I<     0:00  \_ [kworker/4:0H-events_highpri]
     44 ?        S      0:00  \_ [cpuhp/5]
     45 ?        S      0:00  \_ [idle_inject/5]
     46 ?        S      0:00  \_ [migration/5]
     47 ?        S      0:04  \_ [ksoftirqd/5]
     49 ?        I<     0:00  \_ [kworker/5:0H-events_highpri]
     50 ?        S      0:00  \_ [cpuhp/6]
     51 ?        S      0:00  \_ [idle_inject/6]
     52 ?        S      0:00  \_ [migration/6]
     53 ?        S      0:14  \_ [ksoftirqd/6]
     55 ?        I<     0:00  \_ [kworker/6:0H-events_highpri]
     56 ?        S      0:00  \_ [cpuhp/7]
     57 ?        S      0:00  \_ [idle_inject/7]
     58 ?        S      0:00  \_ [migration/7]
     59 ?        S      0:13  \_ [ksoftirqd/7]
     61 ?        I<     0:00  \_ [kworker/7:0H-events_highpri]
     62 ?        S      0:00  \_ [kdevtmpfs]
     63 ?        I<     0:00  \_ [inet_frag_wq]
     64 ?        S      0:00  \_ [kauditd]
     66 ?        S      0:00  \_ [khungtaskd]
     67 ?        S      0:00  \_ [oom_reaper]
     69 ?        I<     0:00  \_ [writeback]
     70 ?        S      1:12  \_ [kcompactd0]
     71 ?        SN     0:00  \_ [ksmd]
     73 ?        SN     0:00  \_ [khugepaged]
     74 ?        I<     0:00  \_ [kintegrityd]
     75 ?        I<     0:00  \_ [kblockd]
     76 ?        I<     0:00  \_ [blkcg_punt_bio]
     77 ?        I<     0:00  \_ [tpm_dev_wq]
     78 ?        I<     0:00  \_ [ata_sff]
     79 ?        I<     0:00  \_ [md]
     80 ?        I<     0:00  \_ [md_bitmap]
     81 ?        I<     0:00  \_ [edac-poller]
     82 ?        I<     0:00  \_ [devfreq_wq]
     83 ?        S      0:00  \_ [watchdogd]
     84 ?        I<     0:13  \_ [kworker/0:1H-events_highpri]
     86 ?        S      0:12  \_ [kswapd0]
     87 ?        S      0:00  \_ [ecryptfs-kthread]
     88 ?        I<     0:00  \_ [kthrotld]
     89 ?        S      0:00  \_ [irq/124-pciehp]
     90 ?        S      0:00  \_ [irq/125-pciehp]
     91 ?        I<     0:00  \_ [acpi_thermal_pm]
     93 ?        S      0:04  \_ [hwrng]
     95 ?        I<     0:00  \_ [mld]
     96 ?        I<     0:09  \_ [kworker/5:1H-events_highpri]
     97 ?        I<     0:00  \_ [ipv6_addrconf]
    106 ?        I<     0:00  \_ [kstrp]
    116 ?        I<     0:00  \_ [charger_manager]
    138 ?        I<     0:08  \_ [kworker/3:1H-events_highpri]
    152 ?        I<     0:12  \_ [kworker/1:1H-events_highpri]
    155 ?        I<     0:08  \_ [kworker/4:1H-events_highpri]
    156 ?        I<     0:10  \_ [kworker/2:1H-events_highpri]
    157 ?        I<     0:09  \_ [kworker/6:1H-events_highpri]
    158 ?        I<     0:13  \_ [kworker/7:1H-events_highpri]
    191 ?        S     10:55  \_ [irq/118-ASUE140A:00]
    194 ?        I<     0:00  \_ [nvme-wq]
    195 ?        I<     0:00  \_ [nvme-reset-wq]
    196 ?        I<     0:00  \_ [nvme-delete-wq]
    197 ?        I<     0:00  \_ [nvme-auth-wq]
    217 ?        S      0:23  \_ [jbd2/nvme0n1p6-8]
    218 ?        I<     0:00  \_ [ext4-rsv-conver]
    370 ?        I<     0:00  \_ [cfg80211]
    394 ?        I<     0:00  \_ [cryptd]
    397 ?        S      1:13  \_ [irq/192-iwlwifi:default_queue]
    399 ?        S      0:27  \_ [irq/193-iwlwifi:queue_1]
    400 ?        S      0:28  \_ [irq/194-iwlwifi:queue_2]
    401 ?        S      0:29  \_ [irq/195-iwlwifi:queue_3]
    402 ?        S      0:31  \_ [irq/196-iwlwifi:queue_4]
    403 ?        S      0:28  \_ [irq/197-iwlwifi:queue_5]
